window_start_s,rms,crest_factor,kurtosis,centroid_hz,distance,threshold,false_alarm,share_rms,share_crest_factor,share_kurtosis,share_centroid_hz
0.0,0.8681479063055993,4.637724713446137,0.03893292999673292,15701.943354853625,3.5566528188370077,2.8844796024649635,True,0.5458627624980615,0.002110470792880646,0.2062812229654943,0.24574554374356364
0.5,0.8698423988125082,4.831009623969566,0.01865770316415638,15681.188889689058,2.457362246737696,2.8844796024649635,False,0.682002364309128,0.021766544679727686,0.017009855509126523,0.2792212355020177
1.0,0.8659990638599472,4.852449818213198,0.0159815466043276,15674.992237711263,3.708840528033649,2.8844796024649635,True,0.7522021125328758,0.014177010648503791,0.003936400319751974,0.2296844764988684
1.5,0.86482027847178,4.720085897168519,0.010642201955275876,15650.438832302018,4.368929890774651,2.8844796024649635,True,0.8143398037795713,0.0002664418746324314,0.006259699981617593,0.17913405436417862
2.0,0.8645229695820835,4.416627590410676,-0.010219352495571599,15659.371289696528,4.461656971552707,2.8844796024649635,True,0.7451256717959589,0.021098414470111133,0.058111033285518636,0.1756648804484114
2.5,0.8598190317677745,4.9418840977081695,-0.012547951348120367,15752.061727238668,4.737087678506592,2.8844796024649635,True,0.6481402374167146,0.03391110477508196,0.08464937704481479,0.2332992807633887
3.0,0.8697908317350752,4.908048974814055,0.008366507134206724,15582.507527762225,3.934495655998087,2.8844796024649635,True,0.9170936381203427,0.0432739217345348,0.006600242349928474,0.03303219779519401
3.5,0.8868694643955606,4.813533638695622,0.014915557605356788,15367.600490287212,2.3738062744931527,2.8844796024649635,False,0.2565415853582892,0.01660148066818313,0.0023734883221744186,0.7244834456513533
4.0,0.8957537237769158,4.7105235378857815,0.030603101790087184,15232.900701362327,3.0283202393255886,2.8844796024649635,True,0.3102637885774719,0.0028340382278632657,0.1066060715956209,0.5802961015990439
4.5,0.9019227712197411,4.174324144082099,0.019120728078701354,15055.940233511817,4.550041960409196,2.8844796024649635,True,0.3104228998837275,0.07713513083755816,0.013263456610787126,0.5991785126679271
5.0,0.8921303006506834,4.445353999418563,0.024169042283781916,15217.829319960205,4.01770339171654,2.8844796024649635,True,0.27625277262939807,0.029941949254620463,0.04475744368860589,0.6490478344273756
